영문공항명,한글공항,공항코드1(IATA),공항코드2(ICAO),지역,영문국가명,한글국가명,영문도시명
Thimarafushi Airport,티마라푸시 공항,TMF,,아시아태평양,Maldives,몰디브,Thimarafushi
Tanah Merah Airport,타나 메라 공항,TMH,WAKT,아시아태평양,Indonesia,인도네시아,Tanahmerah
Tumlingtar Airport,툼링타르 공항,TMI,VNTR,아시아태평양,Nepal,네팔,Tumlingtar
Termez Airport,테르메스 공항,TMJ,UTST,아시아태평양,Uzbekistan,우즈베키스탄,Termez
Tam Ky Airport,땀껑 공항,TMK,,아시아태평양,Vietnam,베트남,Tam Ky
Tamale Airport,타말레 공항,TML,DGLE,중동아프리카,Ghana,가나,Tamale
Toamasina Airport,토아마시나 공항,TMM,FMMT,중동아프리카,Madagascar,마다가스카르,Toamasina
Tamana Airport,다마나 공항,TMN,NGTM,아시아태평양,Kiribati,키리바시,Tamana
Tampere Pirkkala Airport,탐페레 피르칼라 공항,TMP,EFTP,유럽,Finland,핀란드,Tampere
Aguenar Hadj Bey Akhamok Airport,타만라세트 공항,TMR,DAAT,중동아프리카,Algeria,알제리,Tamanrasset
Sao Tome International Airport,상투메 국제공항,TMS,FPST,중동아프리카,Sao Tome and Principe,상투메프린시페,Sao Tome
Porto Trombetas Airport,포르토 트롬베타스 공항,TMT,SBTB,중남미,Brazil,브라질,Trombetas
Tambor Airport,탐보르 공항,TMU,MRTR,중남미,Costa Rica,코스타리카,Tambor
Tamworth Airport,탬워스 공항,TMW,YSTW,대양주,Australia,오스트레일리아,Tamworth
Timimoun Airport,티모운 공항,TMX,DAUT,중동아프리카,Algeria,알제리,Timimoun
Jinan Yaoqiang International Airport,지난 야오창 국제공항,TNA,ZSJN,아시아태평양,China,중국,Jinan
Tin City LRRS Airport,틴 시티 LRRS 공항,TNC,PATC,북미캐나다,United States,미국,Tin City
New Tanegashima Airport,신다네가시마 공항,TNE,RJFG,아시아태평양,Japan,일본,Tanegashima
Tangier Ibn Battouta Airport,탕헤르 이븐 바투타 공항,TNG,GMTT,중동아프리카,Morocco,모로코,Tangier
Tonghua Sanyuanpu Airport,퉁화 싼위안푸 공항,TNH,ZYTN,아시아태평양,China,중국,Tonghua
Raja Haji Fisabilillah Airport,라자하지피사빌라 공항,TNJ,WIDN,아시아태평양,Indonesia,인도네시아,Tanjung Pinang
Tununak Airport,투누낙 공항,TNK,,북미캐나다,United States,미국,Tununak
Tainan Airport,타이난 공항,TNN,RCNN,아시아태평양,Taiwan,대만,Tainan
Tamarindo Airport,타마린도 공항,TNO,MRTM,중남미,Costa Rica,코스타리카,Tamarindo
Ivato International Airport,이바토 국제 공항,TNR,FMMI,중동아프리카,Madagascar,마다가스카르,Antananarivo
Jumandy Airport,주맨디 공항,TNW,,중남미,Ecuador,에콰도르,Tena
Tosontsengel Airport,토손첸겔 공항,TNZ,ZMTL,아시아태평양,Mongolia,몽골,Tosontsengel
Tobruk Airport,토브룩 공항,TOB,HLTQ,중동아프리카,Libya,리비아,Tobruk
Toccoa Airport,토코아 공항,TOC,KTOC,북미캐나다,United States,미국,Toccoa
Tioman Airport,티오만 공항,TOD,WMBT,아시아태평양,Malaysia,말레이시아,Tioman Island
Tozeur Nefta International Airport,토제르 네프타 국제공항,TOE,DTTZ,중동아프리카,Tunisia,튀니지,Tozeur
Bogashevo Airport,보가셰보 공항,TOF,UNTT,유럽,Russia,러시아,Tomsk
Togiak Airport,토기악 공항,TOG,PATG,북미캐나다,United States,미국,Togiak
Torres Airport,토레스 공항,TOH,NVSD,아시아태평양,Vanuatu,바누아투,Torres Islands
Madrid Torrejon Airport,마드리드 토레혼 공항,TOJ,LETO,유럽,Spain,스페인,Madrid
Toledo Express Airport,톨레도 익스프레스 공항,TOL,KTOL,북미캐나다,United States,미국,Toledo
Timbuktu Airport,팀북투 공항,TOM,GATB,중동아프리카,Mali,말리,Tombouctou
Tromso Airport Langnes,트롬쇠 공항 랑네스,TOS,ENTC,유럽,Norway,노르웨이,Tromso
Touho Airport,동방 공항,TOU,NWWU,아시아태평양,New Caledonia,뉴칼레도니아,Touho
Luiz dal Canalle Filho Airport,루이스 달 카날레 필류 공항,TOW,SBTD,중남미,Brazil,브라질,Toledo
Toyama Airport,도야마 공항,TOY,RJNT,아시아태평양,Japan,일본,Toyama
Tampa International Airport,탬파 국제 공항,TPA,KTPA,북미캐나다,United States,미국,Tampa
Tarapoa Airport,타라포아 공항,TPC,SETR,중남미,Ecuador,에콰도르,Tarapoa
Taiwan Taoyuan International Airport,타이완 타오위안 국제공항,TPE,RCTP,아시아태평양,Taiwan,대만,Taipei
Tapini Airport,타피니 공항,TPI,AYTI,아시아태평양,Papua New Guinea,파푸아뉴기니,Tapini
Taplejung Airport,타평정 공항,TPJ,VNTJ,아시아태평양,Nepal,네팔,Taplejung
Cad. FAP Guillermo del Castillo Paredes Airport,캐디드 FAP 기예르모 델 카스티요 파레데스 공항,TPP,SPST,중남미,PerU,페루,Tarapoto
Amado Nervo International Airport,아마도 네르보 국제공항,TPQ,MMEP,중남미,Mexico,멕시코,Tepic
Vincenzo Florio AirportTrapani Birgi,빈첸초 플로리오 공항트라파니 비르기,TPS,LICT,유럽,Italy,이탈리아,Trapani
Tarko Sale Airport,타르코살레 공항,TQL,USDS,유럽,Russia,러시아,Tarko-Sale
Tulum International Airport,툴룸 국제 공항,TQO,,중남미,Mexico,멕시코,Tulum
Trepell Airport,트레펠 공항,TQP,YTEE,대양주,Australia,오스트레일리아,Trepell
Tarama Airport,타라마 공항,TRA,RORT,아시아태평양,Japan,일본,Tarama
Francisco Sarabia International Airport,프란시스코 사라비아 국제공항,TRC,MMTC,중남미,Mexico,멕시코,Torreon
Trondheim Airport,트론헤임 공항,TRD,ENVA,유럽,Norway,노르웨이,Trondheim
Tiree Airport,티리 공항,TRE,EGPU,유럽,United Kingdom,영국,Tiree
TORP Sandefjord Airport,TORP 산데피오르드 공항,TRF,ENTO,유럽,Norway,노르웨이,Oslo
Tauranga Airport,타우랑가 공항,TRG,NZTG,아시아태평양,New Zealand,뉴질랜드,Tauranga
Tri Cities Regional Airport,트라이 시티스 공항,TRI,KTRI,북미캐나다,United States,미국,Tri-City
Juwata International Airport,주와타 국제공항,TRK,WAQQ,아시아태평양,Indonesia,인도네시아,Tarakan
Jacqueline Cochran Regional Airport,재클린 코크란 공항,TRM,KTRM,북미캐나다,United States,미국,Coachella Valley
Turin Airport,토리노 공항,TRN,LIMF,유럽,Italy,이탈리아,Turin
Taree Airport,타리 공항,TRO,YTRE,대양주,Australia,오스트레일리아,Taree
China Bay Airport,차이나 베이 공항,TRR,VCCT,아시아태평양,Sri Lanka,스리랑카,Trincomalee
Trieste Airport,트리에스테 공항,TRS,LIPQ,유럽,Italy,이탈리아,Trieste
FAP Captain Carlos MartInez de Pinillos International Airport,카피탄 FAP 카를로스 마르티네즈 데 피닐로스 공항,TRU,SPRU,중남미,PerU,페루,Trujillo
Trivandrum International Airport,트리반드룸 국제 공항,TRV,VOTV,아시아태평양,India,인도,Thiruvananthapuram
Bonriki International Airport,본리키 국제 공항,TRW,NGTA,아시아태평양,Kiribati,키리바시,Tarawa
Tiruchirappalli International Airport,티루치라팔리 국제공항,TRZ,VOTR,아시아태평양,India,인도,Tiruchirappalli 
Taipei Songshan Airport,타이베이 쑹산 공항,TSA,RCSS,아시아태평양,Taiwan,대만,Taipei
Treviso Sant'Angelo Airport,트레비소 산탄젤로 공항,TSF,LIPH,유럽,Italy,이탈리아,Treviso
Tshikapa Airport,치카파 공항,TSH,FZUK,중동아프리카,"Congo, Democratic Republic of",콩고 민주공화국,Tshikapa
Tsushima Airport,쓰시마 공항,TSJ,RJDT,아시아태평양,Japan,일본,Tsushima
TamuIn National Airport,타무인 공항,TSL,MMTN,중남미,Mexico,멕시코,TamuIn
Taos Regional Airport,타오스 지역공항,TSM,KSKX,북미캐나다,United States,미국,Taos
Tianjin Binhai International Airport,톈진 빈하이 국제공항,TSN,ZBTJ,아시아태평양,China,중국,Tianjin
Timisoara Traian Vuia International Airport,티미쇼아라 트라이안 부이아 국제공항,TSR,LRTR,유럽,Romania,루마니아,Timisoara
Trang Airport,짱 공항,TST,VTST,아시아태평양,Thailand,태국,Trang
Tabiteuea South Airport,타비테우에아 사우스 공항,TSU,NGTS,아시아태평양,Kiribati,키리바시,Tabiteuea South
Townsville Airport,타운스빌 공항,TSV,YBTL,대양주,Australia,오스트레일리아,Townsville
Tasikmalaya Airport,타식말라야 공항,TSY,WICM,아시아태평양,Indonesia,인도네시아,Tasikmalaya
Tan Tan Airport,탄탄 공항,TTA,GMAT,중동아프리카,Morocco,모로코,Tan-Tan
Tortoli Airport,토르톨리 공항,TTB,LIET,유럽,Italy,이탈리아,Tortoli
Sultan Babullah Airport,술탄 바불라 공항,TTE,WAMT,아시아태평양,Indonesia,인도네시아,Ternate
Tartagal Airport,타르타갈 공항,TTG,SAST,중남미,Argentina,아르헨티나,Tartagal
Tottori Airport,돗토리 공항,TTJ,RJOR,아시아태평양,Japan,일본,Tottori
Trenton Mercer Airport,트렌턴 머서 공항,TTN,KTTN,북미캐나다,United States,미국,Trenton
Tortuguero Airport,토르투게로 공항,TTQ,MRAO,중남미,Costa Rica,코스타리카,Tortuguero
Taitung Airport,타이동 공항,TTT,RCFN,아시아태평양,Taiwan,대만,Taitung
Sania Ramel Airport,사니아 라멜 공항,TTU,GMTN,중동아프리카,Morocco,모로코,Tetouan
Tissa Tank Waterdrome,티사 탱크 워터드롬,TTW,,아시아태평양,Sri Lanka,스리랑카,Tissamaharama
Teniente Coronel Luis a Mantilla International Airport,테니엔테 코로넬 루이스 아 만티야 국제공항,TUA,SETU,중남미,Ecuador,에콰도르,Tulcan
Tubuai Mataura Airport,투부아이 마타우라 공항,TUB,NTAT,아시아태평양,French Polynesia,프랑스령 폴리네시아,Tubuai
Teniente General BenjamIn Matienzo International Airport,테니엔테 제네랄 벤하민 마티엔조 국제공항,TUC,SANT,중남미,Argentina,아르헨티나,Tucuman
Tambacounda Airport,탐바쿤다 공항,TUD,GOTT,중동아프리카,Senegal,세네갈,Tambacounda
Tours Val de Loire Airport,투르 발 드 루아르 공항,TUF,LFOT,유럽,France,프랑스,Tours
Tuguegarao Airport,투게가라오 공항,TUG,RPUT,아시아태평양,Philippines,필리핀,Tuguegarao
Turaif Domestic Airport,투라이프 국내선 공항,TUI,OETR,중동아프리카,Saudi Arabia,사우디아라비아,Turaif
Turbat International Airport,투르바트 국제 공항,TUK,OPTU,중동아프리카,Pakistan,파키스탄,Turbat
Tulsa International Airport,털사 국제 공항,TUL,KTUL,북미캐나다,United States,미국,Tulsa
Tunis Carthage International Airport,튀니스 카르타고 국제공항,TUN,DTTA,중동아프리카,Tunisia,튀니지,Tunis
Taupo Airport,타우포 공항,TUO,NZAP,아시아태평양,New Zealand,뉴질랜드,Taupo
Tupelo Regional Airport,투펠로 공항,TUP,KTUP,북미캐나다,United States,미국,Tupelo
TucuruI Airport,투쿠루이 공항,TUR,SBTU,중남미,Brazil,브라질,TucuruI
Tucson International Airport,투손 국제 공항,TUS,KTUS,북미캐나다,United States,미국,Tucson
Tabuk Regional Airport,타부크 공항,TUU,OETB,중동아프리카,Saudi Arabia,사우디아라비아,Tabuk
San Rafael Airport,산 라파엘 공항,TUV,SVTC,중남미,Venezuela,베네수엘라,Tucupita
Tubala Airport,투발라 공항,TUW,,중남미,Panama,파나마,Tubala
Morafenobe Airport,모라페노베 공항,TVA,FMMR,중동아프리카,Madagascar,마다가스카르,Morafenobe
Cherry Capital Airport,체리 캐피탈 공항,TVC,KTVC,북미캐나다,United States,미국,Traverse City
Thief River Falls Regional Airport,시프 리버 폴스 공항,TVF,KTVF,북미캐나다,United States,미국,Thief River Falls
Lake Tahoe Airport,레이크 타호 공항,TVL,KTVL,북미캐나다,United States,미국,Lake Tahoe
Tangshan Sannhe Airport,탕산 산뉘허 공항,TVS,ZBTS,아시아태평양,China,중국,Tangshan
Matei Airport,마테이 공항,TVU,NFNM,아시아태평양,Fiji,피지,Taveuni
Dawei Airport,다웨이 공항,TVY,VYDW,아시아태평양,Myanmar,미얀마,Dawei
Twin Hills Airport,트윈 힐스 공항,TWA,,북미캐나다,United States,미국,Twin Hills
Toowoomba City Aerodrome,투움바 시티 비행장,TWB,YTWB,대양주,Australia,오스트레일리아,Toowoomba
Tumxuk Tangwangcheng Airport,툼쑥 탕왕청 공항,TWC,,아시아태평양,China,중국,Tumxuk
Magic Valley Regional Airport,매직 밸리 지역 공항,TWF,KTWF,북미캐나다,United States,미국,Twin Falls
Sanga Sanga Airport,상가상가 공항,TWT,,아시아태평양,Philippines,필리핀,Tawitawi Island
Tawau Airport,타와우 공항,TWU,WBKW,아시아태평양,Malaysia,말레이시아,Tawau
Pukaki Airport,푸카키 공항,TWZ,NZUK,아시아태평양,New Zealand,뉴질랜드,Twizel
Rembele Airport,렘벨레 공항,TXE,WITK,아시아태평양,Indonesia,인도네시아,Takengon
Teixeira de Freitas Airport,테세이라 데 프레이타스 공항,TXF,SNTF,중남미,Brazil,브라질,Teixeira de Freitas
Texarkana Regional Airport,텍사캐나 지역공항,TXK,KTXK,북미캐나다,United States,미국,Texarkana
Huangshan Tunxi International Airport,황산 툰시 국제공항,TXN,ZSTX,아시아태평양,China,중국,Huangshan
Tynda Airport,틴다 공항,TYD,UHBW,유럽,Russia,러시아,Tynda
Torsby Airport,토스비 공항,TYF,ESST,유럽,Sweden,스웨덴,Torsby
Capitan FAP VIctor Montes Arias International Airport,카피탄 FAP 빅토르 몬테스 아리아스 국제공항,TYL,SPYL,중남미,PerU,페루,Talara
Staniel Cay Airport,스타니엘 케이 공항,TYM,MYES,중남미,Bahamas,바하마,Staniel Cay
Taiyuan Wusu International Airport,타이위안 우수 국제공항,TYN,ZBYN,아시아태평양,China,중국,Taiyuan
Tyler Pounds Regional Airport,타일러 파운즈 공항,TYR,KTYR,북미캐나다,United States,미국,Tyler
McGhee Tyson Airport,맥기 타이슨 공항,TYS,KTYS,북미캐나다,United States,미국,Knoxville
Belize City Municipal Airport,벨리즈 시티 공항,TZA,,중남미,Belize,벨리즈,Belize City
Tuzla International Airport,투즐라 국제 공항,TZL,LQTZ,유럽,Bosnia and Herzegovina,보스니아 헤르체고비나,Tuzla
South Andros Airport,사우스 안드로스 공항,TZN,,중남미,Bahamas,바하마,South Andros
Trabzon Airport,트라브존 공항,TZX,LTCG,유럽,Turkey,터키,Trabzon
Ua Huka Airport,우아후카 공항,UAH,NTMU,아시아태평양,French Polynesia,프랑스령 폴리네시아,Ua Huka
Narsarsuaq Airport,나르사수아크 공항,UAK,BGBW,유럽,Greenland,그린란드,Narsarsuaq
Luau Airport,루아우 공항,UAL,FNUA,중동아프리카,Angola,앙골라,Luau
Ua Pou Airport,우아포우 공항,UAP,NTMP,아시아태평양,French Polynesia,프랑스령 폴리네시아,Ua Pou
Domingo Faustino Sarmiento Airport,도밍고 파우스티노 사르미엔토 공항,UAQ,SANU,중남미,Argentina,아르헨티나,San Juan
Bouarfa Airport,부아르파 공항,UAR,GMFB,중동아프리카,Morocco,모로코,Bouarfa
Samburu Airport,삼부루 공항,UAS,HKSB,중동아프리카,Kenya,케냐,Samburu
Mario de Almeida Franco Airport,마리오 데 알메이다 프랑코 공항,UBA,SBUR,중남미,Brazil,브라질,Uberaba
Mabuiag Island Airport,마부이악 아일랜드 공항,UBB,YMAA,대양주,Australia,오스트레일리아,Mabuiag Island
Yamaguchi Ube Airport,야마구치 우베 공항,UBJ,RJDC,아시아태평양,Japan,일본,Ube
Chinggis Khaan International Airport,칭기즈칸 국제공항,UBN,,아시아태평양,Mongolia,몽골,Ulaanbaatar
Ubon Ratchathani Airport,우본랏차타니 공항,UBP,VTUU,아시아태평양,Thailand,태국,Ubon Ratchathani
Ubatuba Airport,우바투바 공항,UBT,SDUB,중남미,Brazil,브라질,Ubatuba
Ulanqab Airport,울란차브 공항,UCB,,아시아태평양,China,중국,Ulanqab
Lutsk Airport,루츠크 공항,UCK,UKLC,유럽,Ukraine,우크라이나,Lutsk
Ukhta Airport,우흐타 공항,UCT,UUYH,유럽,Russia,러시아,Ukhta
Ten. Cel. Av. Cesar Bombonato Airport,우벨란디아 공항,UDI,SBUL,중남미,Brazil,브라질,Uberlandia
Uzhhorod International Airport,우즈호로드 국제공항,UDJ,UKLU,유럽,Ukraine,우크라이나,Uzhhorod
Maharana Pratap Airport,마하라나 프라탑 공항,UDR,VAUD,아시아태평양,India,인도,Udaipur
Quelimane Airport,퀼리마네 공항,UEL,FQQL,중동아프리카,Mozambique,모잠비크,Quelimane
Kumejima Airport,구메지마 공항,UEO,ROKJ,아시아태평양,Japan,일본,Kumejima
Waukesha County Airport,워키샤 카운티 공항,UES,KUES,북미캐나다,United States,미국,Waukesha
Quetta International Airport,퀘타 국제 공항,UET,OPQT,중동아프리카,Pakistan,파키스탄,Quetta
Ufa International Airport,우파 국제 공항,UFA,UWUU,유럽,Russia,러시아,Ufa
Urgench International Airport,우르겐치 국제 공항,UGC,UTNU,아시아태평양,Uzbekistan,우즈베키스탄,Urgench
San Juan Seaplane Base,산후안,UGI,,북미캐나다,United States,미국,Uganik
UIge Airport,위제 공항,UGO,FNUG,중동아프리카,Angola,앙골라,UIge
Ugashik Airport,우가시크 공항,UGS,,북미캐나다,United States,미국,Ugashik
Bulagtai Airport,불락타이 공항,UGT,ZMBR,아시아태평양,Mongolia,몽골,Bulagtai
Kunovice Airport,쿠노비체 공항,UHE,LKKU,유럽,Czechia,체코,Uherske Hradiste
El Carano Airport,엘 카라뇨 공항,UIB,SKUI,중남미,Colombia,콜롬비아,Quibdo
Phu Cat Airport,푸캇 공항,UIH,VVPC,아시아태평양,Vietnam,베트남,Qui Nhon
Utila Airport,우틸라 공항,UII,MHUT,유럽,Honduras,온두라스,Utila
Ust Ilimsk Airport,우스트 일림스크 공항,UIK,UIBS,유럽,Russia,러시아,Ust-Ilimsk
Quincy Regional Airport,퀸시 지역 공항,UIN,KUIN,북미캐나다,United States,미국,Quincy
Mariscal Sucre International Airport,마리스칼 수크레 국제 공항,UIO,SEQM,중남미,Ecuador,에콰도르,Quito
Quimper Cornouaille Airport,캉페르코르누아이유 공항,UIP,LFRQ,유럽,France,프랑스,Quimper
Jaluit Airport,잘루이트 공항,UIT,,아시아태평양,Marshall Islands,마샬 군도,Jaluit Island
Ujae Airport,우재공항,UJE,UJAP,아시아태평양,Marshall Islands,마샬 군도,Ujae Island
Ukunda Airport,우쿤다 공항,UKA,HKUK,중동아프리카,Kenya,케냐,Ukunda
Kobe Airport,고베 공항,UKB,RJBE,아시아태평양,Japan,일본,Osaka
Ust Kuyga Airport,우스트 쿠이가 공항,UKG,UEBT,유럽,Russia,러시아,UstKuyga
Mukhaizna Airport,무카이즈나 공항,UKH,,중동아프리카,Oman,오만,Mukhaizna
Oskemen Airport,오스케멘 공항,UKK,UASK,아시아태평양,Kazakhstan,카자흐스탄,Ust-Kamenogorsk
Sevastopol International Airport,세바스토폴 국제공항,UKS,UKFB,유럽,Ukraine,우크라이나,Sevastopol
Ust Kut Airport,우스트 쿠트 공항,UKX,UITT,유럽,Russia,러시아,Ust-Kut
Capitan Jose Daniel Vazquez Airport,카피탄 호세 다니엘 바스케스 공항,ULA,SAWJ,중남미,Argentina,아르헨티나,SanJulian
Ulei Airport,울레이 공항,ULB,NVSU,아시아태평양,Vanuatu,바누아투,Ulei
Ulundi Airport,울룬디 공항,ULD,FAUL,중동아프리카,South Africa,남아프리카,Ulundi
Olgii Airport,욀기 공항,ULG,ZMUL,아시아태평양,Mongolia,몽골,Olgii
Prince Abdul Majeed bin Abdulaziz Domestic Airport,프린스 압둘 마지드 빈 압둘아지즈 국내선 공항,ULH,OEAO,중동아프리카,Saudi Arabia,사우디아라비아,Alula
Lensk Airport,렌스크 공항,ULK,UERL,유럽,Russia,러시아,Lensk
Buyant Ukhaa International Airport,보얀트 우카 국제공항,ULN,ZMUB,아시아태평양,Mongolia,몽골,Ulaanbaatar
Ulaangom Airport,울란곰 공항,ULO,ZMUG,아시아태평양,Mongolia,몽골,Ulaangom
Quilpie Airport,퀼파이 공항,ULP,YQLP,대양주,Australia,오스트레일리아,Quilpie
Gulu Airport,구루 공항,ULU,HUGU,중동아프리카,Uganda,우간다,Gulu
Ulyanovsk Baratayevka Airport,울리야놉스크 바라타예프카 공항,ULV,UWLL,유럽,Russia,러시아,Ulyanovsk
Ulusaba Airstrip,울루사바 활주로,ULX,,중동아프리카,South Africa,남아프리카,Ulusaba
Ulyanovsk Vostochny Airport,울리야놉스크 보스토크니 공항,ULY,UWLW,유럽,Russia,러시아,Ulyanovsk
Donoi Airport,도노이 공항,ULZ,ZMDN,아시아태평양,Mongolia,몽골,Uliastai
Umea Airport,우메오 공항,UME,ESNU,유럽,Sweden,스웨덴,Umea
Ust Maya Airport,우스트 마야 공항,UMS,UEMU,유럽,Russia,러시아,Ust-Maya
Sumy Airport,수미 공항,UMY,UKHS,유럽,Ukraine,우크라이나,Sumy
Una Comandatuba Airport,우나 코만다투바 공항,UNA,SBTC,중남미,Brazil,브라질,Una
Kunduz Airport,쿤두즈 공항,UND,OAUZ,중동아프리카,Afghanistan,아프가니스탄,Kunduz
Kiunga Airport,기웅가 공항,UNG,AYKI,아시아태평양,Papua New Guinea,파푸아뉴기니,Kiunga
Unalakleet Airport,어널래클릿 공항,UNK,PAUN,북미캐나다,United States,미국,Unalakleet
Ranong Airport,라농 공항,UNN,VTSR,아시아태평양,Thailand,태국,Ranong
Mururoa Airport,무루로아 공항,UOA,NTTX,아시아태평양,French Polynesia,프랑스령 폴리네시아,Moruroa
Pogogul Airport,포고굴 공항,UOL,WAMY,아시아태평양,Indonesia,인도네시아,Buol
University Oxford Airport,유니버시티 옥스퍼드 공항,UOX,KUOX,북미캐나다,United States,미국,Oxford
Playa Baracoa Airport,플라야 바라코아 공항,UPB,MUPB,중남미,Cuba,쿠바,Havana
Sultan Hasanuddin International Airport,술탄 하사누딘 국제공항,UPG,WAAA,아시아태평양,Indonesia,인도네시아,Makassar
Ignacio Lopez Rayon International Airport,이그나시오 로페스 라욘 국제공항,UPN,MMPN,중남미,Mexico,멕시코,Uruapan
Oral Ak Zhol Airport,오랄 악 졸 공항,URA,UARR,아시아태평양,Kazakhstan,카자흐스탄,Uralsk
Urumqi Diwopu International Airport,우루무치 디워푸 국제공항,URC,ZWWW,아시아태평양,China,중국,Urumqi
Kuressaare Airport,쿠레사레 공항,URE,EEKE,유럽,Estonia,에스토니아,Kuressaare
Rubem Berta International Airport,루벰 베르타 국제 공항,URG,SBUG,중남미,Brazil,브라질,Uruguaiana
Uray Airport,우라이 공항,URJ,USHU,유럽,Russia,러시아,Uray
Rouen Airport,루앙 공항,URO,LFOP,유럽,France,프랑스,Rouen
Kursk Vostochny Airport,쿠르스크 보스토크니 공항,URS,UUOK,유럽,Russia,러시아,Kursk
Surat Thani Airport,수랏타니 공항,URT,VTSB,아시아태평양,Thailand,태국,Surat Thani
Gurayat Domestic Airport,구라얏 국내선 공항,URY,OEGT,중동아프리카,Saudi Arabia,사우디아라비아,Gurayat
Concord Regional Airport,콩코드 지역공항,USA,KJQF,북미캐나다,United States,미국,Concord
Ushuaia Malvinas Argentinas International Airport,우수아이아 말비나스 아르헨티나스 국제공항,USH,SAWH,중남미,Argentina,아르헨티나,Ushuaia
Usharal Airport,우샤랄 공항,USJ,,아시아태평양,Kazakhstan,카자흐스탄,Usharal
Usinsk Airport,우신스크 공항,USK,UUYS,유럽,Russia,러시아,Usinsk
Samui Airport,사무이 공항,USM,VTSM,아시아태평양,Thailand,태국,Ko Samui
Ulsan Airport,울산공항,USN,RKPU,아시아태평양,South Korea,대한민국,Ulsan
USak Airport,우샤크 공항,USQ,LTBO,유럽,Turkey,터키,USak
Ust Nera Airport,우스트 네라 공항,USR,UEMT,유럽,Russia,러시아,UstNera
Northeast Florida Regional Airport,노스이스트 플로리다 지역공항,UST,KSGJ,북미캐나다,United States,미국,St. Augustine
Francisco B. Reyes Airport,프란시스코 B. 레예스 공항,USU,RPVV,아시아태평양,Philippines,필리핀,Busuanga
Udon Thani International Airport,우돈타니 국제공항,UTH,VTUD,아시아태평양,Thailand,태국,Udon Thani
Utirik Airport,유티릭 공항,UTK,,아시아태평양,Marshall Islands,마샬 군도,Utirik Atoll
Tunica Municipal Airport,투니카 시립공항,UTM,KUTA,북미캐나다,United States,미국,Tunica
Upington Airport,어핑턴 공항,UTN,FAUP,중동아프리카,South Africa,남아프리카,Upington
Indian Mountain LRRS Airport,인디언 마운틴 LRRS 공항,UTO,PAIM,북미캐나다,United States,미국,Utopia Creek
U Tapao International Airport,우타파오 국제공항,UTP,VTBU,아시아태평양,Thailand,태국,Utapao
Ust Tsilma Airport,우스트 틸마 공항,UTS,UUYX,유럽,Russia,러시아,Ust-Tsilma
Mthatha Airport,음타타 공항,UTT,FAUT,중동아프리카,South Africa,남아프리카,Umtata
Ustupo Airport,우스투포 공항,UTU,,중남미,Panama,파나마,Ustupo
Bugulma Airport,부굴마 공항,UUA,UWKB,유럽,Russia,러시아,Bugulma
Baikal International Airport,바이칼 국제 공항,UUD,UIUU,유럽,Russia,러시아,Ulan-Ude
Yuzhno Sakhalinsk Airport,유즈노사할린스크 공항,UUS,UHSS,유럽,Russia,러시아,Yuzhno-Sakhalinsk
Ouvea Airport,우베아 공항,UVE,NWWV,아시아태평양,New Caledonia,뉴칼레도니아,Ouvea
Hewanorra International Airport,헤와노라 국제공항,UVF,TLPL,중남미,Saint Lucia,세인트루시아,StLucia
El Kharga Airport,엘 카르가 공항,UVL,HEKG,중동아프리카,Egypt,이집트,NewValley
Nyala Airport,니얄라 공항,UYL,HSNN,중동아프리카,Sudan,수단,Nyala
Yulin Yuyang Airport,위린 공항,UYN,ZLYL,아시아태평양,China,중국,Yulin
Uyuni Airport,우유니 공항,UYU,SLUY,중남미,Bolivia,볼리비아,Uyuni
Urzhar Airport,우르자르 공항,UZR,,아시아태평양,Kazakhstan,카자흐스탄,Urzhar
Vaasa Airport,바사 공항,VAA,EFVA,유럽,Finland,핀란드,Vaasa
Major Brigadeiro Trompowsky Airport,메이저 브리가데이로 트롬포프스키 공항,VAG,SBVG,중남미,Brazil,브라질,Varginha
Vanimo Airport,바니모 공항,VAI,AYVN,아시아태평양,Papua New Guinea,파푸아뉴기니,Vanimo
Chevak Airport,체박 공항,VAK,PAVA,북미캐나다,United States,미국,Chevak
Valenca Airport,발렌사 공항,VAL,SNVB,중남미,Brazil,브라질,Valenca
Villa International AirportMaamigili,빌라 인터내셔널 에어포트 마미길리 ,VAM,VRMV,아시아태평양,Maldives,몰디브,Maamigili
Van Ferit Melen Airport,반 페리 멜렌 공항,VAN,LTCI,유럽,Turkey,터키,Van
Suavanao Airport,수아바나오 공항,VAO,AGGV,아시아태평양,Solomon Islands,솔로몬 제도,Suavanao
Varna Airport,바르나 공항,VAR,LBWN,유럽,Bulgaria,불가리아,Varna
Sivas Airport,시바스 공항,VAS,LTAR,유럽,Turkey,터키,Sivas
Vavau International Airport,바바우 국제공항,VAV,NFTV,아시아태평양,Tonga,통가,Vavau
Vardo Airport Svartnes,바르되 공항 스바르트네스,VAW,ENSS,유럽,Norway,노르웨이,Vardo
Ann Airport,앤 공항,VBA,,아시아태평양,Myanmar,미얀마,Ann
Bokpyin Airport,복평공항,VBP,VYBP,아시아태평양,Myanmar,미얀마,Bokpyin
Brescia Airport,브레시아 공항,VBS,LIPO,유럽,Italy,이탈리아,Brescia
Vanuabalavu Airport,바누아발라부 공항,VBV,NFVB,아시아태평양,Fiji,피지,Vanua Balavu
Visby Airport,비스비 공항,VBY,ESSV,유럽,Sweden,스웨덴,Visby
